plant_id_eia,operating_year,capacity_mw,generator_id,fgd
3,1969,403.7,4,1
3,1971,788.8,5,1
8,1956,187.5,8,1
8,1958,190.4,9,1
8,1972,788.8,10,1
26,1974,952,5,1
51,1986,720.7,1,1
56,1969,66,1,1
56,1980,236,3,1
56,1978,236,2,1
59,1982,109.8,1,1
60,1981,76.3,1,1
60,2011,248,2,1
79,1952,5,1,0
79,1952,2.5,2,0
79,1975,20,5,0
87,1984,257,1,1
108,1983,348.7,1,1
113,1962,113.6,1,1
113,1981,414,4,1
113,1980,312.3,3,1
127,1986,720,1,1
130,2007,591,3,1
130,1995,590.9,1,1
130,1984,556.2,2,1
130,2008,652,4,1
136,1984,735.9,2,1
136,1984,735.9,1,1
160,1979,204,ST3,1
165,1985,594,2,1
298,1985,893,1,1
298,1986,956.8,2,1
470,1975,396,2,1
470,1973,382.5,1,1
470,2010,856.8,3,1
492,1968,75,6,1
492,1974,132.3,7,1
525,1976,275.4,2,1
525,1965,190,1,1
527,1991,79.3,ST4,1
527,1959,11.5,3,1
527,1959,11.5,1,1
527,1959,11.5,2,1
564,1987,464.5,1,1
564,1996,464.5,2,1
568,1968,400,3,0
594,1980,445.5,4,1
602,1991,685,2,1
602,1984,685,1,1
628,1982,739.2,ST4,1
628,1984,739.2,5,1
641,1970,369.7,6,1
641,1973,578,7,1
641,1959,93.7,4,1
641,1961,93.7,5,1
645,1970,445.5,ST1,1
645,1976,445.5,ST3,1
645,1973,445.5,ST2,1
645,1985,486,ST4,1
663,1981,250.7,2,1
667,1972,297.5,2,1
667,1966,297.5,1,1
676,1982,363.8,3,1
703,1971,805.8,1,1
703,1972,788.8,2,1
703,1975,952,4,1
703,1974,952,3,1
708,1955,125,3,1
708,1954,125,2,1
708,1954,125,1,1
708,1970,578,4,1
856,1968,280.5,2,0
856,1972,363.8,3,0
861,1972,616.5,2,1
861,1965,388.9,1,1
876,1968,659.5,2,1
876,1967,659.5,1,1
879,1975,892.8,6,0
879,1972,892.8,5,0
883,1962,355.3,8,0
883,1958,326.4,7,0
884,1963,598.4,4,0
887,1953,183.3,1,0
887,1955,183.3,5,0
887,1953,183.3,2,0
887,1954,183.3,4,0
887,1954,183.3,3,0
887,1955,183.3,6,0
889,1970,625.1,1,1
889,1973,634.5,2,1
889,1975,634.5,3,1
891,1978,488,6,1
892,1959,231.3,2,0
892,1953,75,1,0
963,1978,207.3,3,1
963,2009,230.1,4,1
963,1968,90.2,1,1
963,1972,90.2,2,1
976,1978,173,4,1
976,1963,33,3,1
976,1963,33,2,1
976,1963,33,1,1
983,1955,217.3,3,1
983,1956,217.3,6,1
983,1955,217.3,4,1
983,1955,217.3,5,1
983,1955,217.3,2,1
983,1955,217.3,1,1
994,1967,281.6,ST1,1
994,1969,523.3,ST2,1
994,1986,670.9,4,1
994,1977,670.9,ST3,1
997,1974,540,12,1
1001,1970,531,1,1
1001,1972,531,2,1
1004,2013,236.5,CT2,0
1004,2013,331.5,ST,0
1004,2013,236.5,CT1,0
1008,1958,150,2,1
1008,1961,150,4,1
1012,1966,103.7,2,1
1012,1973,265.2,3,1
1024,1955,11.5,4,0
1024,1965,12.6,5,0
1040,1955,33,1,1
1040,1973,60.9,2,1
1047,1977,274.5,4,1
1073,1997,14.6,1,0
1073,1958,50,3,0
1082,1978,725.8,3,1
1082,2007,922.5,4,1
1091,1975,584.1,3,1
1104,1968,212,1,0
1167,1969,75,8,1
1167,2000,18,8A,1
1167,1983,175.5,9,1
1167,1958,25,7,1
1241,1977,725.9,2,1
1241,1973,873,1,1
1250,1971,403,5,1
1250,1960,114,4,1
1355,1963,179.5,2,1
1355,1971,464,3,1
1355,1957,113.6,1,1
1356,1977,556.3,2,1
1356,1984,556.2,4,1
1356,1981,556.5,3,1
1356,1974,556.9,1,1
1364,1972,355.5,1,1
1364,1978,462.6,3,1
1364,1974,355.5,2,1
1364,1982,543.6,4,1
1374,1964,163.2,1,1
1374,1974,282.1,2,1
1378,1970,1150.2,3,1
1379,1954,175,4,1
1379,1955,175,8,1
1379,1954,175,6,1
1379,1955,175,9,1
1379,1953,175,2,1
1379,1954,175,7,1
1379,1953,175,3,1
1379,1954,175,5,1
1379,1953,175,1,1
1381,1971,192,3,1
1381,1969,205,1,1
1381,1970,205,2,1
1382,1974,205,2,1
1382,1973,200,1,1
1383,1966,96,1,0
1384,1965,113.6,1,1
1384,1969,230.4,2,1
1393,1982,614.6,6,1
1554,1959,136,2,1
1554,1966,359,3,1
1571,1965,364,ST2,1
1571,1964,364,ST1,1
1572,1962,196,3,1
1572,1960,196,2,1
1572,1959,196,ST1,1
1573,1971,626,ST2,1
1573,1970,626,ST1,1
1702,1961,136,2B,1
1702,1961,136,2A,1
1702,1959,136,1A,1
1702,1959,136,1B,1
1710,1962,265.2,1,1
1710,1967,378.8,2,1
1710,1980,916.8,3,1
