,Ultra-supercritical coal (USC),USC with 30% CCS,USC with 90% CCS,CC - single shaft,CC - multi shaft,CC with 90% CCS,Internal combustion engine,CT - aeroderivative,CT - industrial frame,Fuel cells,Advanced nuclear,Dist. Generation base,Dist. Generation - peak,Battery storage,Biomass,Geothermal,MSW - landfill gas,Conventional hydropower,Wind,Wind offshore,Solar thermal,Solar PV - tracking
TRE,0.929254302,0.937661221,0.943805236,0.902687674,0.888888889,0.937718957,0.940621532,0.884615385,0.881690141,0.959531271,0.943960741,0.890032154,0.960920771,1,0.927875244,,0.942196532,,0.93328279,0.976680132,0.96467807,0.968444778
FRCC,0.962305381,0.96711092,0.971485743,0.936978684,0.928721174,0.959906578,0.967813541,0.929059829,0.926760563,0.979833765,0.968814311,0.916398714,0.997858672,1.001446132,0.961013645,,0.969171484,1.782340116,,1,0.980253094,0.950413223
MISW,1.063097514,1.054600172,1.046023012,1.042632067,1.051362683,1.017516543,1.038290788,1.061538462,1.061971831,1.026161602,1.02801963,0.98778135,0.98875803,0.985538684,1.045808967,,1.035966602,0.584665698,0.955269143,1,,0.990232908
MISC,1.071565146,1.065993121,1.066366517,1.037071362,1.052410901,1.013623978,1.067702553,1.048717949,1.050704225,1.061861289,1.109387367,1.027009646,1.019807281,1.034707158,1.06505848,,1.06743738,,0.954510993,,,1.018031555
MISE,1.085222617,1.07566638,1.068367517,1.063021316,1.07966457,1.029194239,1.056048835,1.08034188,1.083098592,1.042785121,1.071078043,1.016720257,0.99143469,1.002169197,1.068469786,,1.054592164,,1.144048522,1.197392582,,1.007513148
MISS,0.961759082,0.968615649,0.977155244,0.929564411,0.922431866,0.9552355,0.974472808,0.921367521,0.91971831,0.990870691,0.995725819,0.893890675,0.973233405,1.023138106,0.961013645,,0.976236352,,0.955269143,,,0.957926371
ISNE,1.158699809,1.147463457,1.131399033,1.199258573,1.185534591,1.061891787,1.094339623,1.124786325,1.128169014,1.081755007,1.13281621,1.14340836,1.038543897,1.030368764,1.187378168,,1.09312781,0.656976744,1.26611069,1,,1.01728024
NYCW,,,,1.59128823,1.623689727,1.202802647,1.371809101,1.44017094,1.456338028,1.2734705,,1.633440514,1.408458244,1.026753435,1.611598441,,1.361592807,,,1.005875872,,1.196844478
NYUP,1.132477465,1.124462597,1.102384526,1.202965709,1.165618449,1.037757882,1.05327414,1.085470085,1.087323944,1.03787982,1.056830774,1.156913183,1.0251606,1.003615329,1.191033138,,1.051380861,1.344113372,1.544351782,1.219794344,,1.007513148
PJME,1.169079486,1.154772141,1.133233283,1.201112141,1.191823899,1.053328143,1.094894562,1.118803419,1.122535211,1.07248944,1.10685452,1.197427653,1.100107066,1.006507592,1.211988304,,1.092485549,1.396438953,1.26611069,1,,1.03756574
PJMW,0.997268506,0.999785039,0.996331499,0.996292864,0.975890985,0.968470222,0.981132075,0.958974359,0.957746479,0.988009266,0.97831249,1.026366559,1.01391863,0.997107737,1.019005848,,0.981374438,1.282703488,0.955269143,1,,0.9797145
