EMM Region,PC,IGCC,PC w/CCS,Conv. CT,Adv. CT,Conv CC,Adv CC,Adv CC w/CCS,Fuel Cell,Nuclear,Biomass,MSW,Onshore Wind,Offshore Wind,Solar Thermal,Solar PV
ERCT,0.91,0.92,0.92,0.93,0.95,0.91,0.92,0.9,0.96,0.96,0.93,0.93,0.95,0.92,0.86,0.87
FRCC,0.92,0.93,0.94,0.93,0.93,0.91,0.92,0.92,0.97,0.97,0.94,0.94,,,0.89,0.9
MROE,1.01,1.01,0.99,0.99,1.01,0.99,0.99,0.97,0.99,1.01,0.99,0.98,0.99,0.97,,0.96
MROW,0.95,0.96,0.96,0.98,1,0.97,0.97,0.96,0.98,0.98,0.96,0.96,1.03,1.01,,0.95
NEWE,1.1,1.09,1.05,1.16,1.2,1.16,1.15,1.08,1.01,1.05,1.04,1.02,1.06,1.03,,1.03
NYCW,,,,1.63,1.68,1.68,1.66,1.5,1.14,,1.26,1.26,,1.29,,
NYLI,,,,1.63,1.68,1.68,1.66,1.5,1.14,,1.26,1.26,1.25,1.29,,1.45
NYUP,1.11,1.1,1.05,1.17,1.22,1.16,1.16,1.06,1,1.07,1.03,1,1.01,0.99,,0.98
RFCE,1.15,1.14,1.09,1.21,1.25,1.21,1.21,1.12,1.02,1.08,1.07,1.03,1.05,1.03,,1.05
RFCM,0.98,0.98,0.98,1.01,1.02,1,1,0.99,0.99,0.99,0.98,0.98,1,0.98,,0.97
RFCW,1.05,1.04,1.02,1.05,1.06,1.04,1.04,1.02,1,1.03,1.02,1,1.02,1.01,,1
SRDA,0.92,0.93,0.93,0.95,0.96,0.93,0.93,0.92,0.97,0.96,0.93,0.94,0.96,1,,0.89
SRGW,1.07,1.06,1.05,1.05,1.05,1.06,1.05,1.04,1.02,1.03,1.03,1.03,1.04,1,,1.05
SRSE,0.92,0.93,0.93,0.95,0.97,0.93,0.94,0.92,0.97,0.96,0.93,0.94,0.96,0.93,,0.89
SRCE,0.93,0.94,0.94,0.94,0.95,0.93,0.93,0.92,0.97,0.97,0.94,0.94,0.96,1,,0.89
SRVC,0.89,0.91,0.91,0.91,0.93,0.88,0.89,0.88,0.96,0.95,0.91,0.91,0.95,0.92,,0.84
SPNO,0.98,0.99,0.98,1,1.01,0.99,0.99,0.98,0.99,0.99,0.98,0.98,1.02,,0.97,0.97
SPSO,0.98,0.99,0.98,1,1.01,0.99,0.99,0.98,0.99,0.99,0.98,0.98,1.02,,0.97,0.97
AZNM,1,1,0.99,1.03,1.04,1.02,1.02,1,0.99,1,1,0.99,1.03,1,0.99,0.99
CAMX,,,1.12,1.24,1.29,1.25,1.24,1.15,1.03,,1.08,1.06,1.12,1.05,1.13,1.11
NWPP,1.01,1.01,1,1.02,1.03,1.01,1.01,0.99,0.99,1.01,1,0.98,1.05,1.02,0.99,0.99
RMPA,0.99,0.99,0.97,1.02,1.05,1.01,1.01,0.96,0.98,1.01,0.97,0.95,1.03,,0.93,0.93
