region,technology,tech_detail,capture_rate,with_backbone,percentile,dollar_year,parameter,parameter_value
ERC_FRNT,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
ERC_GWAY,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
ERC_REST,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
ERC_WEST,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
FRCC,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_AMSO,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_AR,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_D_MS,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_IA,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_IL,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_INKY,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_LA,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_LMI,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_MAPP,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_MIDA,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_MNWI,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_MO,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_WOTA,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
MIS_WUMS,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
PJM_ATSI,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
PJM_COMD,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
PJM_West,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
SPP_KIAM,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
SPP_N,Coal,CCS90AvgCF,90,FALSE,10,2018,capacity_mw,650
