Resource,region,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Existing_Charge_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Reg_Cost,Rsv_Cost,Reg_Max,Rsv_Max
biomass,all,,0,1,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,0
conventional_hydroelectric,all,,0,1,1,0,0,0.5,0.5,0,0,0,-1,-1,-1,0,0,0,0
geothermal,all,,0,1,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,0
hydroelectric_pumped_storage,all,,0,0.866,0.866,1,16,1,1,0,0,0,-1,-1,-1,0,0,0,0
natural_gas_fired_combined_cycle,all,,0,1,1,0,0,0.64,0.64,6,6,0,-1,-1,-1,0,0,0.106666667,0.213333333
natural_gas_fired_combustion_turbine,all,,0,1,1,0,0,3.78,3.78,1,1,0,-1,-1,-1,0,0,0.63,1.26
other_peaker,all,,0,1,1,0,0,3.78,3.78,1,1,0,-1,-1,-1,0,0,0.63,1.26
natural_gas_steam_turbine,all,,0,1,1,0,0,0.57,0.57,24,24,0,-1,-1,-1,0,0,0.095,0.19
onshore_wind_turbine,all,,0,1,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,0
small_hydroelectric,all,,0,1,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,0
solar_photovoltaic,all,,0,1,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,0
conventional_steam_coal,all,,0,1,1,0,0,0.57,0.57,24,24,0,-1,-1,-1,0,0,0.095,0.19
offshore_wind,all,,0,1,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,0
naturalgas_ccccsavgcf,all,0.6,0,1,1,0,0,0.64,0.64,6,6,0,-1,-1,-1,0,0,0.106666667,0.213333333
naturalgas_ccs100,all,0.6,0,1,1,0,0,0.64,0.64,6,6,0,-1,-1,-1,0,0,0.106666667,0.213333333
naturalgas_ccavgcf,all,0.2,0,1,1,0,0,0.64,0.64,6,6,0,-1,-1,-1,0,0,0.106666667,0.213333333
naturalgas_ctavgcf,all,0.3,0,1,1,0,0,3.78,3.78,1,1,0,-1,-1,-1,0,0,0.63,1.26
landbasedwind,all,0,0,1,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,0
offshorewind,all,0,0,1,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,0
utilitypv,all,0,0,1,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,0
test,all,0,0,0.92,0.92,1,10,1,1,0,0,0,-1,-1,-1,0,0,0,0
nuclear,all,0.5,0,1,1,0,0,0.25,0.25,24,24,0,-1,-1,-1,0,0,0.041666667,0.083333333
battery,all,0,0,0.92,0.92,1,10,1,1,0,0,0,-1,-1,-1,0,0,0,0
batteries,all,0,0,0.92,0.92,1,10,1,1,0,0,0,-1,-1,-1,0,0,0,0
naturalgas_h-frame cc_moderate,all,0.3,0,1,1,0,0,0.64,0.64,6,6,0,-1,-1,0,0,0,0.106666667,0.213333333
naturalgas_h-frame cc 95% ccs,all,0.6,0,1,1,0,0,0.64,0.64,6,6,0,-1,-1,0,0,0,0.106666667,0.213333333
naturalgas_f-frame ct_moderate,all,0.3,0,1,1,0,0,3.78,3.78,1,1,0,-1,-1,0,0,0,0.63,1.26
naturalgas_h-frame ct_moderate,all,0.3,0,1,1,0,0,3.78,3.78,1,1,0,-1,-1,0,0,0,0.63,1.26
