region,technology,cluster,spur_miles,max_capacity
NENGREST,NaturalGas_CCCCS,,20,-1
NENGREST,NaturalGas_CCAvgCF,,0,-1
NENGREST,NaturalGas_CT,,0,-1
NENGREST,Battery,,0,-1
NENGREST,Nuclear,,50,-1
NENGREST,NaturalGas_CCS100,,20,-1
NENG_CT,NaturalGas_CCCCS,,20,-1
NENG_CT,NaturalGas_CCAvgCF,,0,-1
NENG_CT,NaturalGas_CT,,0,-1
NENG_CT,Battery,,0,-1
NENG_CT,Nuclear,,50,-1
NENG_CT,NaturalGas_CCS100,,20,-1
NENG_ME,NaturalGas_CCCCS,,20,-1
NENG_ME,NaturalGas_CCAvgCF,,0,-1
NENG_ME,NaturalGas_CT,,0,-1
NENG_ME,Battery,,0,-1
NENG_ME,Nuclear,,50,-1
NENG_ME,NaturalGas_CCS100,,20,-1
