heat_load_shifting,heat_load_shifting,heat_load_shifting
2030,2030,2030
moderate,moderate,moderate
NENGREST,NENG_CT,NENG_ME
222.0857142,63.42857138,30.28571428
210,59.97142861,28.62857142
201.0571431,57.40000003,27.39999997
196.5142859,56.14285708,26.80000001
195.8285715,55.9142857,26.68571427
199.2857144,56.91428566,27.17142856
206.6857145,59.02857146,28.1714286
213.4000002,60.94285709,29.0857143
224.8000001,64.19999995,30.62857143
235.9142855,67.37142853,32.17142856
242.6571428,69.28571429,33.05714286
245.1428574,70.00000005,33.42857141
246.3142859,70.34285719,33.60000002
244.1142858,69.71428572,33.28571427
241.6857144,69.02857143,32.94285712
243.1142858,69.42857139,33.14285713
266.7714286,76.17142863,36.37142859
289.2571428,82.6285714,39.42857145
287.5714284,82.11428569,39.19999998
278.7714285,79.6285714,37.99999999
268.4571429,76.68571434,36.6
254.0857143,72.57142862,34.65714286
236.2857143,67.48571429,32.22857143
216.3428574,61.77142861,29.48571432
199.457143,56.9714286,27.20000003
189.2285712,54.02857141,25.79999997
184.3142857,52.62857136,25.14285714
183.1714288,52.31428569,24.9714286
187.2285713,53.45714288,25.51428569
197.4571426,56.39999994,26.91428568
212.8000001,60.77142852,29.00000003
225.4000002,64.37142852,30.74285717
240.7999999,68.77142857,32.82857145
256.6285715,73.31428572,34.97142854
268.2285716,76.60000006,36.5714286
272.9714285,77.94285716,37.22857143
272.542857,77.8285714,37.14285716
270.7714284,77.34285716,36.91428568
269.9142859,77.0857143,36.80000001
274.0285716,78.25714283,37.37142857
299.742857,85.59999993,40.85714284
325.7428573,93.02857146,44.39999998
322.8857144,92.19999994,44.02857144
315.0857145,89.99999998,42.97142859
302.342857,86.34285717,41.19999999
282.3142858,80.60000002,38.48571428
257.4285713,73.51428577,35.08571428
234.9142855,67.08571433,32.02857142
219.9714284,62.82857138,30.00000001
212.5142856,60.68571423,28.97142856
208.9428573,59.68571428,28.48571428
209.3428572,59.80000003,28.54285715
216.8857142,61.94285718,29.57142859
239.1714287,68.31428567,32.59999998
278.5714284,79.54285711,37.97142859
300.6857142,85.85714279,40.99999998
304.4000001,86.94285717,41.48571427
