region,technology,cluster,spur_miles,max_capacity
CA_N,NaturalGas_CCCCS,,20,-1
CA_N,NaturalGas_CCAvgCF,,0,-1
CA_N,NaturalGas_CT,,0,-1
CA_N,Battery,,0,-1
CA_N,Nuclear,,50,-1
CA_N,NaturalGas_CCS100,,20,-1
CA_S,NaturalGas_CCCCS,,20,-1
CA_S,NaturalGas_CCAvgCF,,0,-1
CA_S,NaturalGas_CT,,0,-1
CA_S,Battery,,0,-1
CA_S,Nuclear,,50,-1
CA_S,NaturalGas_CCS100,,20,-1
WECC_N,NaturalGas_CCCCS,,20,-1
WECC_N,NaturalGas_CCAvgCF,,0,-1
WECC_N,NaturalGas_CT,,0,-1
WECC_N,Battery,,0,-1
WECC_N,Nuclear,,50,-1
WECC_N,NaturalGas_CCS100,,20,-1
WECC_WYCO,NaturalGas_CCCCS,,20,-1
WECC_WYCO,NaturalGas_CCAvgCF,,0,-1
WECC_WYCO,NaturalGas_CT,,0,-1
WECC_WYCO,Battery,,0,-1
WECC_WYCO,Nuclear,,50,-1
WECC_WYCO,NaturalGas_CCS100,,20,-1
WECC_NMAZ,NaturalGas_CCCCS,,20,-1
WECC_NMAZ,NaturalGas_CCAvgCF,,0,-1
WECC_NMAZ,NaturalGas_CT,,0,-1
WECC_NMAZ,Battery,,0,-1
WECC_NMAZ,Nuclear,,50,-1
WECC_NMAZ,NaturalGas_CCS100,,20,-1
WECC_PNW,NaturalGas_CCCCS,,20,-1
WECC_PNW,NaturalGas_CCAvgCF,,0,-1
WECC_PNW,NaturalGas_CT,,0,-1
WECC_PNW,Battery,,0,-1
WECC_PNW,Nuclear,,50,-1
WECC_PNW,NaturalGas_CCS100,,20,-1
