region,technology,cluster,spur_line_miles,max_capacity,
CA_N,NaturalGas_CCCCS,,20,-1,
CA_N,NaturalGas_CCAvgCF,,0,-1,
CA_N,NaturalGas_CT,,0,-1,
CA_N,LandbasedWind,NoCA-wind-9,26.8212139,475.7949842,
CA_N,LandbasedWind,NoCA-wind-8,29.33694741,5684.169012,
CA_N,OffShoreWind,CA_N_offshore,0,5256,
CA_N,UtilityPV,NoCA-pv-9,23.17554305,8775.387695,
CA_N,UtilityPV,NoCA-pv-8,26.51107232,31725.20972,
CA_N,UtilityPV,NoCA-pv-7,25.14029981,36022.26415,
CA_N,Battery,,0,-1,
CA_N,Nuclear,,50,-1,
CA_N,NaturalGas_CCS100,,20,-1,
CA_S,NaturalGas_CCCCS,,20,-1,
CA_S,NaturalGas_CCAvgCF,,0,-1,
CA_S,NaturalGas_CT,,0,-1,
CA_S,LandbasedWind,SoCA-wind-8,58.12497033,0,
CA_S,LandbasedWind,SoCA-wind-7,54.31054049,8049.33724,
CA_S,OffShoreWind,CA_S_offshore,0,14786.13942,
CA_S,UtilityPV,SoCA-pv-9,49.91587941,2259,
CA_S,UtilityPV,SoCA-pv-8,50.88851045,48974.08808,
CA_S,UtilityPV,SoCA-pv-7,45.81766886,35548.61713,
CA_S,Battery,,0,-1,
CA_S,Nuclear,,50,-1,
CA_S,NaturalGas_CCS100,,20,-1,
WECC_AZ,NaturalGas_CCCCS,,0,-1,
WECC_AZ,NaturalGas_CCAvgCF,,0,-1,
WECC_AZ,NaturalGas_CT,,0,-1,
WECC_AZ,LandbasedWind,state_AZ-wind-9,62.44440137,7800.357052,
WECC_AZ,LandbasedWind,state_AZ-wind-8,53.34056158,17223.68627,
WECC_AZ,LandbasedWind,state_AZ-wind-7,49.6058104,23513.83431,
WECC_AZ,UtilityPV,state_AZ-pv-9,33.41874588,27284.8458,
WECC_AZ,UtilityPV,state_AZ-pv-8,40.19827749,39257.61347,
WECC_AZ,UtilityPV,state_AZ-pv-7,45.84847119,56394.74923,
WECC_AZ,Battery,,0,-1,
WECC_AZ,Nuclear,,50,-1,
WECC_AZ,NaturalGas_CCS100,,0,-1,
WECC_CO,NaturalGas_CCCCS,,175,-1,
WECC_CO,NaturalGas_CCAvgCF,,0,-1,
WECC_CO,NaturalGas_CT,,0,-1,
WECC_CO,LandbasedWind,state_CO-wind-9,34.96653458,0,
WECC_CO,LandbasedWind,state_CO-wind-8,108.5359197,18104.44069,
WECC_CO,LandbasedWind,state_CO-wind-7,98.05831589,37227.73926,
WECC_CO,UtilityPV,state_CO-pv-9,80.92758397,18580.64289,
WECC_CO,UtilityPV,state_CO-pv-8,77.17229382,37246.71704,
WECC_CO,Battery,,0,-1,
WECC_CO,Nuclear,,50,-1,
WECC_CO,NaturalGas_CCS100,,175,-1,
WECC_NM,NaturalGas_CCCCS,,175,-1,
WECC_NM,NaturalGas_CCAvgCF,,0,-1,
WECC_NM,NaturalGas_CT,,0,-1,
WECC_NM,LandbasedWind,state_NM-wind-9,113.2926664,16279.21061,
WECC_NM,LandbasedWind,state_NM-wind-8,128.4315953,39549.4827,
WECC_NM,LandbasedWind,state_NM-wind-7,113.4101856,39994.39706,
WECC_NM,UtilityPV,state_NM-pv-9,54.15163536,43592.53662,
WECC_NM,UtilityPV,state_NM-pv-8,51.42091775,63451.50073,
WECC_NM,Battery,,0,-1,
WECC_NM,Nuclear,,50,-1,
WECC_NM,NaturalGas_CCS100,,175,-1,
WECC_NW,NaturalGas_CCCCS,,332,-1,
WECC_NW,NaturalGas_CCAvgCF,,0,-1,
WECC_NW,NaturalGas_CT,,0,-1,
WECC_NW,LandbasedWind,NoNV-wind-9,92.35204031,7087.47114,
WECC_NW,LandbasedWind,state_ID-wind-9,47.92474277,2992.45959,
WECC_NW,LandbasedWind,state_MT-wind-9a,128.206582,1500,
