CA_N,CA_S,WECC_AZ,WECC_CO
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.006,0.154,0.012,0.036
0.069,0.417,0.283,0.299
0.143,0.602,0.518,0.501
0.224,0.707,0.667,0.68
0.304,0.75,0.743,0.769
0.356,0.736,0.763,0.774
0.436,0.667,0.728,0.719
0.468,0.53,0.633,0.598
0.268,0.321,0.472,0.376
0.047,0.077,0.233,0.043
0,0,0.006,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.127,0.013,0.032
0.018,0.376,0.285,0.296
0.037,0.563,0.519,0.521
0.044,0.67,0.669,0.661
0.053,0.721,0.744,0.737
0.111,0.688,0.765,0.741
0.164,0.611,0.727,0.677
0.183,0.473,0.63,0.564
0.121,0.271,0.466,0.367
0.026,0.052,0.224,0.057
0,0,0.003,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.042,0.023,0.008,0.048
0.323,0.18,0.234,0.378
0.549,0.493,0.455,0.548
0.681,0.674,0.532,0.613
0.741,0.747,0.502,0.671
0.735,0.739,0.589,0.684
0.644,0.657,0.466,0.658
0.459,0.525,0.396,0.535
0.246,0.306,0.178,0.32
0.059,0.089,0.031,0.039
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.032,0.178,0,0.023
0.246,0.449,0.017,0.322
0.508,0.638,0.05,0.607
0.639,0.749,0.085,0.733
0.699,0.799,0.106,0.788
0.715,0.79,0.119,0.784
0.45,0.721,0.119,0.729
0.279,0.585,0.086,0.601
0.164,0.37,0.05,0.376
0.011,0.107,0.019,0.062
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.074,0.01,0.091
0.039,0.365,0.252,0.496
0.094,0.586,0.497,0.696
0.108,0.694,0.657,0.8
