ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting
2030,2030,2030,2030,2030,2030,2030,2045,2045,2045,2045,2045,2045,2045,2030,2030,2030,2030,2030,2030,2030,2045,2045,2045,2045,2045,2045,2045
moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,high,high,high,high,high,high,high,high,high,high,high,high
CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV,CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV,CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV,CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV
52.8,68.1,54.6,17.9,12.9,127,14,86.7,111.7,113.5,32.8,23.6,220.5,24.3,134,172.8,138.7,45.4,32.7,322.5,35.5,661.2,852.5,865.7,250.2,180.2,1682,185.3
49.3,63.6,43.6,12.6,10.3,109,11.2,81,104.4,90.6,23.2,18.9,189.2,19.4,125.2,161.4,110.7,32.1,26.1,276.8,28.4,617.7,796.3,691.3,176.9,143.9,1443.7,148
19,24.5,19.6,9.2,4.6,48,5,31.2,40.2,40.8,16.8,8.5,83.3,8.7,48.3,62.2,49.9,23.3,11.7,121.8,12.8,238.2,307.1,311.3,128.5,64.8,635.5,66.6
14.4,18.6,15.4,2.6,3.6,38.6,3.9,23.7,30.5,32,4.7,6.7,67,6.8,36.6,47.2,39.1,6.6,9.2,98.1,10,180.7,233,244,36.2,50.8,511.5,52.2
9.1,11.8,9,4.6,2.1,24,2.3,15,19.3,18.6,8.4,3.9,41.6,4,23.2,29.9,22.8,11.6,5.4,60.9,5.8,114.3,147.3,142.1,64,29.6,317.4,30.4
2.3,2.9,3.6,9.5,0.8,8.1,0.9,3.7,4.8,7.5,17.5,1.6,14.1,1.6,5.8,7.4,9.1,24.2,2.2,20.7,2.3,28.4,36.6,57,133.5,11.9,107.8,12.2
6.2,8,8.2,16.1,1.9,21.1,2.1,10.1,13.1,17,29.5,3.5,36.6,3.6,15.7,20.2,20.7,40.8,4.9,53.5,5.3,77.2,99.6,129.5,224.8,26.9,279.2,27.7
