code,id,name
AA0,AA0,All items - old base
AA0R,AA0R,Purchasing power of the consumer dollar - old base
SA0,SA0,All items
SA0E,SA0E,Energy
SA0L1,SA0L1,All items less food
SA0L12,SA0L12,All items less food and shelter
SA0L12E,SA0L12E,"All items less food, shelter, and energy"
SA0L12E4,SA0L12E4,"All items less food, shelter, energy, and used cars and trucks"
SA0L1E,SA0L1E,All items less food and energy
SA0L2,SA0L2,All items less shelter
SA0L5,SA0L5,All items  less medical care
SA0LE,SA0LE,All items less energy
SA0R,SA0R,Purchasing power of the consumer dollar
SA311,SA311,Apparel less footwear
SAA,SAA,Apparel
SAA1,SAA1,Men's and boys' apparel
SAA2,SAA2,Women's and girls' apparel
SAC,SAC,Commodities
SACE,SACE,Energy commodities
SACL1,SACL1,Commodities less food
SACL11,SACL11,Commodities less food and beverages
SACL1E,SACL1E,Commodities less food and energy commodities
SACL1E4,SACL1E4,"Commodities less food, energy, and used cars and trucks"
SAD,SAD,Durables
SAE,SAE,Education and communication
SAE1,SAE1,Education
SAE2,SAE2,Communication
SAE21,SAE21,Information and information processing
SAEC,SAEC,Education and communication commodities
SAES,SAES,Education and communication services
SAF,SAF,Food and beverages
SAF1,SAF1,Food
SAF11,SAF11,Food at home
SAF111,SAF111,Cereals and bakery products
SAF112,SAF112,"Meats, poultry, fish, and eggs"
SAF1121,SAF1121,"Meats, poultry, and fish"
SAF11211,SAF11211,Meats
SAF113,SAF113,Fruits and vegetables
SAF1131,SAF1131,Fresh fruits and vegetables
SAF114,SAF114,Nonalcoholic beverages and beverage materials
SAF115,SAF115,Other food at home
SAF116,SAF116,Alcoholic beverages
SAG,SAG,Other goods and services
SAG1,SAG1,Personal care
SAGC,SAGC,Other goods
SAGS,SAGS,Other personal services
SAH,SAH,Housing
SAH1,SAH1,Shelter
SAH2,SAH2,Fuels and utilities
SAH21,SAH21,Household energy
SAH3,SAH3,Household furnishings and operations
SAH31,SAH31,Household furnishings and supplies
SAM,SAM,Medical care
SAM1,SAM1,Medical care commodities
SAM2,SAM2,Medical care services
SAN,SAN,Nondurables
SAN1D,SAN1D,Domestically produced farm food
SANL1,SANL1,Nondurables less food
SANL11,SANL11,Nondurables less food and beverages
SANL113,SANL113,"Nondurables less food, beverages, and apparel"
SANL13,SANL13,Nondurables less food and apparel
SAR,SAR,Recreation
SARC,SARC,Recreation commodities
SARS,SARS,Recreation services
SAS,SAS,Services
SAS24,SAS24,Utilities and public transportation
SAS2RS,SAS2RS,Rent of shelter
SAS367,SAS367,Other services
SAS4,SAS4,Transportation services
SASL2RS,SASL2RS,Services less rent of shelter
SASL5,SASL5,Services less medical care services
SASLE,SASLE,Services less energy services
SAT,SAT,Transportation
SAT1,SAT1,Private transportation
